location,Bed,Bath,Ft,price
Texas,5.0,3.0,2894.0,265000.0
Texas,4.0,3.5,2916.0,549000.0
Texas,2.0,2.0,1197.0,248888.0
Texas,3.0,2.0,1758.0,449900.0
Texas,3.0,2.0,2080.0,499900.0
Texas,3.0,2.0,1636.0,240000.0
Texas,4.0,1.0,1204.0,214975.0
Texas,3.0,1.0,1224.0,179900.0
Texas,3.0,1.0,1334.0,165000.0
Texas,5.0,2.5,2517.0,400000.0
Texas,3.0,2.0,1236.0,199900.0
Texas,3.0,1.5,1474.0,179500.0
Texas,3.0,4.0,2877.0,649000.0
Texas,3.0,1.5,1370.0,132000.0
Texas,3.0,2.0,1485.0,210500.0
Texas,3.0,2.5,1470.0,210000.0
Texas,3.0,2.0,1363.0,169950.0
Texas,3.0,2.5,2180.0,535000.0
Texas,3.0,1.0,1158.0,155000.0
Texas,3.0,1.0,848.0,119900.0
Texas,4.0,2.0,1899.0,249900.0
Texas,3.0,2.5,2024.0,325000.0
Texas,5.0,3.5,3549.0,450000.0
Texas,3.0,2.0,1348.0,245000.0
Texas,3.0,2.0,1456.0,249900.0
Texas,4.0,2.0,1311.0,228700.0
Texas,5.0,3.5,3040.0,372500.0
Texas,4.0,1.5,1839.0,223777.0
Texas,2.0,1.0,768.0,55000.0
Texas,3.0,2.0,2028.0,259900.0
Texas,5.0,3.5,3055.0,429900.0
Texas,4.0,2.0,1962.0,259990.0
Texas,5.0,2.0,2092.0,199990.0
Texas,4.0,2.5,2565.0,325000.0
Texas,4.0,3.5,2821.0,379000.0
Texas,4.0,2.0,1507.0,199999.0
Texas,3.0,2.5,1914.0,290000.0
Texas,3.0,2.0,1178.0,169990.0
Texas,4.0,3.0,1820.0,305000.0
Texas,3.0,2.5,2290.0,335000.0
Texas,3.0,2.0,1476.0,295000.0
Texas,3.0,2.0,2043.0,199000.0
Texas,4.0,2.0,965.0,154990.0
Texas,4.0,3.5,2920.0,399000.0
Texas,5.0,2.0,2820.0,175000.0
Texas,5.0,2.0,1768.0,179000.0
Texas,3.0,1.0,1931.0,219000.0
Texas,4.0,3.5,2984.0,410000.0
Texas,4.0,2.0,1796.0,302000.0
Texas,4.0,1.0,1274.0,174900.0
Texas,3.0,2.5,2308.0,240000.0
Texas,4.0,2.0,1577.0,244900.0
Texas,4.0,2.5,2260.0,319900.0
Texas,4.0,5.0,3304.0,563000.0
Texas,4.0,3.0,2562.0,342000.0
Texas,3.0,1.0,1150.0,160000.0
Texas,2.0,2.0,1327.0,175000.0
Texas,3.0,2.0,1687.0,264999.0
Texas,3.0,2.0,1588.0,199500.0
Texas,4.0,2.5,2182.0,349000.0
Texas,3.0,1.5,1059.0,150000.0
Texas,3.0,2.0,1741.0,322900.0
Texas,3.0,2.5,2338.0,675000.0
Texas,4.0,2.0,1517.0,220000.0
Texas,3.0,2.0,1376.0,345000.0
Texas,3.0,2.0,976.0,169000.0
Texas,3.0,2.5,1713.0,325000.0
Texas,4.0,3.0,3217.0,439999.0
Texas,4.0,3.5,3238.0,539900.0
Texas,3.0,2.5,1870.0,305000.0
Texas,3.0,2.0,1437.0,259900.0
Texas,4.0,3.0,2204.0,349000.0
Texas,3.0,2.0,2485.0,359500.0
Texas,3.0,1.5,1203.0,229000.0
Texas,3.0,2.0,1418.0,224990.0
Texas,,2.0,804.0,325000.0
Texas,3.0,1.0,1095.0,199900.0
Texas,4.0,3.5,3262.0,795000.0
Texas,4.0,3.0,3295.0,435000.0
Texas,4.0,2.0,1825.0,311000.0
Texas,3.0,1.0,1385.0,171500.0
Texas,4.0,3.5,3295.0,369990.0
Texas,3.0,1.0,1444.0,170000.0
Texas,3.0,2.0,1854.0,255000.0
Texas,2.0,2.0,1316.0,195500.0
Texas,3.0,2.5,2700.0,599900.0
Texas,5.0,3.0,2202.0,360000.0
Texas,4.0,2.0,1852.0,255000.0
Texas,2.0,2.0,1272.0,249500.0
Texas,4.0,2.5,2006.0,335000.0
Texas,2.0,2.0,1000.0,250000.0
Texas,3.0,2.5,1870.0,345000.0
Texas,3.0,2.0,1727.0,232000.0
Texas,3.0,1.5,1795.0,160000.0
Texas,4.0,2.0,1488.0,123788.0
Texas,3.0,2.0,1884.0,325000.0
Texas,4.0,2.5,2595.0,299900.0
Texas,4.0,2.5,2070.0,308500.0
Texas,4.0,2.5,2310.0,310000.0
Texas,3.0,2.0,2409.0,230000.0
Texas,3.0,1.5,1414.0,150000.0
Texas,3.0,2.0,1373.0,229000.0
Texas,2.0,1.0,640.0,125000.0
Texas,4.0,2.0,1478.0,179990.0
Texas,4.0,3.0,2632.0,614990.0
Texas,4.0,3.5,4618.0,529000.0
Texas,4.0,2.5,2394.0,299000.0
Texas,3.0,2.5,1760.0,298900.0
Texas,3.0,2.0,1420.0,174999.0
Texas,2.0,1.0,768.0,80000.0
Texas,3.0,1.5,1184.0,129000.0
Texas,3.0,2.0,1582.0,194900.0
Texas,3.0,2.0,1608.0,358000.0
Texas,4.0,1.0,2599.0,170000.0
Texas,4.0,3.5,3576.0,824000.0
Texas,5.0,3.0,2811.0,450000.0
Texas,3.0,2.0,1964.0,215000.0
Texas,4.0,1.5,1477.0,190000.0
Texas,3.0,2.5,2108.0,349000.0
Texas,3.0,1.0,1090.0,138000.0
Texas,4.0,2.0,1655.0,239975.0
Texas,2.0,1.0,744.0,148000.0
Texas,3.0,2.0,1564.0,385000.0
Texas,3.0,2.0,1912.0,310000.0
Texas,3.0,2.0,1638.0,285000.0
Texas,4.0,2.5,2852.0,410000.0
Texas,3.0,2.0,1256.0,140000.0
Texas,3.0,1.5,1180.0,104000.0
Texas,4.0,2.5,1850.0,149900.0
Texas,3.0,2.0,1297.0,179000.0
Texas,3.0,1.0,960.0,193999.0
Texas,2.0,1.5,1616.0,114900.0
Texas,3.0,2.5,1983.0,297500.0
Texas,4.0,3.0,2964.0,415000.0
Texas,4.0,2.0,1683.0,209995.0
Texas,4.0,2.5,2733.0,345000.0
Texas,3.0,2.0,1432.0,149997.0
Texas,2.0,1.0,1139.0,797000.0
Texas,3.0,2.0,23824.0,3165000.0
Texas,3.0,2.0,1050.0,109900.0
Texas,2.0,2.0,1235.0,109000.0
Texas,5.0,3.5,3520.0,420000.0
Texas,3.0,2.5,1988.0,788000.0
Texas,3.0,1.0,1176.0,135000.0
Texas,3.0,2.0,1648.0,338900.0
Texas,4.0,3.5,2915.0,439900.0
Texas,4.0,3.5,2415.0,409900.0
Texas,4.0,2.0,1949.0,279000.0
Texas,4.0,3.0,3174.0,463720.0
Texas,4.0,2.5,2290.0,399000.0
Texas,3.0,2.5,1778.0,399000.0
Texas,4.0,3.0,1759.0,321905.0
Texas,3.0,2.5,2051.0,399000.0
Texas,4.0,3.5,2548.0,374140.0
Texas,3.0,2.5,1872.0,253770.0
Texas,3.0,2.0,2517.0,415990.0
Texas,4.0,2.0,2160.0,384900.0
Texas,4.0,2.0,2188.0,368900.0
Texas,3.0,2.0,1958.0,376900.0
Texas,3.0,2.0,1850.0,349900.0
Texas,3.0,2.0,1850.0,349900.0
Texas,3.0,2.0,1648.0,328900.0
Texas,3.0,2.5,2051.0,390194.0
Texas,3.0,2.0,1998.0,280000.0
Texas,4.0,3.5,2377.0,530878.0
Texas,4.0,3.5,2377.0,499237.0
Texas,4.0,3.0,2582.0,471554.0
Texas,4.0,3.5,2700.0,454790.0
Texas,4.0,3.5,3477.0,574882.0
Texas,4.0,3.0,2583.0,524990.0
Texas,4.0,2.0,2134.0,449990.0
Texas,4.0,2.5,2513.0,367504.0
Texas,3.0,2.0,1824.0,354740.0
Texas,4.0,2.0,1688.0,318640.0
Texas,3.0,2.0,1409.0,264990.0
Texas,4.0,2.0,1796.0,239990.0
Texas,4.0,2.0,1680.0,269990.0
Texas,4.0,2.0,1796.0,264990.0
Texas,4.0,2.0,1680.0,234990.0
Texas,4.0,3.0,2731.0,419140.0
Texas,3.0,2.0,1601.0,325990.0
Texas,4.0,3.5,3477.0,574439.0
Texas,5.0,4.5,3800.0,584365.0
Texas,4.0,3.0,2246.0,458990.0
Texas,3.0,2.0,1850.0,344900.0
Texas,4.0,2.0,1941.0,358900.0
Texas,3.0,2.0,1824.0,330340.0
Texas,3.0,2.5,2051.0,399000.0
Texas,4.0,3.5,2548.0,392140.0
Texas,4.0,2.5,2178.0,349900.0
Texas,4.0,2.5,1785.0,319900.0
Texas,4.0,2.0,2101.0,349990.0
Texas,3.0,2.0,1604.0,288971.0
Texas,4.0,3.5,2667.0,395000.0
Texas,3.0,2.0,1629.0,285000.0
